text,label
"bro this movie was insane",casual
"i didnt really like it tho",casual
"gonna finish it later",casual
"lol that was funny",casual
"cant believe this happened",casual
"pls send it asap",casual
"this game is kinda boring",casual
"dude that was awesome",casual

"I did not like the movie.",neutral
"She went to school yesterday.",neutral
"The work was completed on time.",neutral
"I will attend the meeting tomorrow.",neutral
"He submitted the assignment late.",neutral
"They discussed the issue carefully.",neutral
"The results were satisfactory.",neutral
"We reached the destination safely.",neutral

"The results indicate a significant improvement.",formal
"This experiment was conducted under controlled conditions.",formal
"The findings support the initial hypothesis.",formal
"The committee reached a unanimous decision.",formal
"The methodology was carefully designed.",formal
"This study examines the impact of climate change.",formal
"The data was analyzed using statistical methods.",formal
"The report presents a detailed evaluation.",formal

"bro this movie was insane",casual
"i didnt really like it tho",casual
"gonna finish it later",casual
"lol that was funny",casual
"cant believe this happened",casual
"pls send it asap",casual
"this game is kinda boring",casual
"dude that was awesome",casual
"im not sure about this",casual
"yeah i think so",casual
"nah thats not true",casual
"wanna go out later",casual
"this sucks honestly",casual
"idk what to do now",casual
"that was so cool",casual
"im feeling tired today",casual
"lets see what happens",casual
"ugh this is annoying",casual
"im gonna try again",casual
"ok cool thanks",casual
"bro you serious",casual
"this is kinda weird",casual
"im late again lol",casual
"cant wait for tomorrow",casual
"that was unexpected",casual
"haha that made me laugh",casual
"im not convinced tho",casual
"this looks good tbh",casual
"lets do it now",casual
"im done with this",casual
"yeah thats fine",casual
"why is this happening",casual
"im confused right now",casual
"this feels wrong",casual
"trust me on this",casual
"nah im good",casual
"this is taking forever",casual
"guess we will see",casual
"i messed up again",casual
"that was my bad",casual
"this isnt working",casual
"im gonna leave now",casual
"bro calm down",casual
"this is too much",casual
"ok lets stop",casual
"im bored already",casual
"that didnt help",casual
"this makes no sense",casual
"im tired of waiting",casual
"lets fix this later",casual
"that was awkward",casual
"im not happy rn",casual
"whatever happens happens",casual
"this is messed up",casual
"ok i get it now",casual
"why would you do that",casual
"this isnt fair",casual
"im kinda lost",casual
"lets talk later",casual
"that didnt go well",casual
"i totally forgot",casual
"im sorry about that",casual
"this is funny tho",casual
"lets move on",casual
"im done talking",casual
"this was pointless",casual
"im not ready yet",casual
"ok lets try again",casual
"that sounds good",casual
"i dont think so",casual
"this is annoying me",casual
"im gonna sleep now",casual
"lets end this here",casual
"this feels off",casual
"why even bother",casual
"im overthinking this",casual
"this could be better",casual
"lets see tomorrow",casual
"that was unexpected lol",casual
"im not buying it",casual
"this is too easy",casual
"ok cool got it",casual
"im freaking out",casual
"that was close",casual
"lets chill for now",casual
"im just saying",casual
"this isnt good",casual
"bro relax",casual
"im done here",casual


"I did not like the movie.",neutral
"She went to school yesterday.",neutral
"The task was completed on time.",neutral
"I will attend the meeting tomorrow.",neutral
"He submitted the assignment late.",neutral
"They discussed the issue carefully.",neutral
"The results were satisfactory.",neutral
"We reached the destination safely.",neutral
"The weather was pleasant today.",neutral
"I will call you later.",neutral
"The project is almost finished.",neutral
"She enjoys reading books.",neutral
"He arrived early for the event.",neutral
"They completed the work together.",neutral
"The class started on time.",neutral
"I forgot to bring my notebook.",neutral
"The team performed well.",neutral
"We will review the document.",neutral
"The system works as expected.",neutral
"I understand the problem now.",neutral
"The file was saved correctly.",neutral
"He answered the question.",neutral
"They waited for the results.",neutral
"The process took longer.",neutral
"I followed the instructions.",neutral
"The meeting ended early.",neutral
"We discussed the plan.",neutral
"The solution was accepted.",neutral
"He checked the details.",neutral
"The report was submitted.",neutral
"I completed the assignment.",neutral
"The data was processed.",neutral
"They shared the information.",neutral
"The task was simple.",neutral
"I learned something new.",neutral
"The decision was final.",neutral
"We reached an agreement.",neutral
"The experiment was successful.",neutral
"He fixed the issue.",neutral
"The explanation was clear.",neutral
"I agree with the conclusion.",neutral
"The test was conducted.",neutral
"They reviewed the output.",neutral
"The schedule was updated.",neutral
"I confirmed the details.",neutral
"The problem was solved.",neutral
"He followed the steps.",neutral
"The request was approved.",neutral
"We completed the analysis.",neutral
"The outcome was positive.",neutral
"I checked the results.",neutral
"The system was updated.",neutral
"They completed the task.",neutral
"The response was recorded.",neutral
"I prepared the document.",neutral
"The process was smooth.",neutral
"He understood the concept.",neutral
"The report was finalized.",neutral
"We reviewed the changes.",neutral
"The work was accurate.",neutral
"I followed up later.",neutral
"The setup was correct.",neutral
"They met the deadline.",neutral
"The summary was clear.",neutral
"I verified the output.",neutral
"The data was collected.",neutral
"We discussed the results.",neutral
"The explanation was sufficient.",neutral
"I reviewed the file.",neutral
"The decision was justified.",neutral
"They completed the review.",neutral
"The output matched expectations.",neutral
"I documented the steps.",neutral
"The system behaved correctly.",neutral
"We confirmed the solution.",neutral
"The report was approved.",neutral
"I analyzed the data.",neutral
"The test was successful.",neutral
"They completed the process.",neutral
"The findings were accurate.",neutral
"I checked the configuration.",neutral
"The results were verified.",neutral
"We followed the procedure.",neutral
"The document was complete.",neutral
"I validated the input.",neutral
"The conclusion was logical.",neutral
"They submitted the report.",neutral
"The issue was resolved.",neutral


"The results indicate a significant improvement.",formal
"This experiment was conducted under controlled conditions.",formal
"The findings support the initial hypothesis.",formal
"The committee reached a unanimous decision.",formal
"The methodology was carefully designed.",formal
"This study examines the impact of climate change.",formal
"The data was analyzed using statistical methods.",formal
"The report presents a detailed evaluation.",formal
"The results demonstrate consistent behavior.",formal
"This paper explores the underlying factors.",formal
"The analysis reveals important trends.",formal
"The experiment followed standard procedures.",formal
"The outcomes align with previous research.",formal
"The study provides valuable insights.",formal
"The findings contribute to existing literature.",formal
"The methodology ensures reliability.",formal
"The conclusions are well supported.",formal
"This research highlights key observations.",formal
"The experiment was replicated successfully.",formal
"The results were statistically significant.",formal
"The report summarizes the findings.",formal
"The analysis was conducted systematically.",formal
"The study addresses critical issues.",formal
"The conclusions were drawn logically.",formal
"The experiment validates the hypothesis.",formal
"The research design was appropriate.",formal
"The results were consistent across trials.",formal
"The study offers meaningful conclusions.",formal
"The analysis confirms the assumptions.",formal
"The methodology followed best practices.",formal
"The findings were carefully documented.",formal
"The research provides strong evidence.",formal
"The experiment was well controlled.",formal
"The data supports the conclusions.",formal
"The study advances current understanding.",formal
"The report details the methodology.",formal
"The analysis followed rigorous standards.",formal
"The research outcomes are reliable.",formal
"The conclusions are clearly stated.",formal
"The experiment produced valid results.",formal
"The findings align with expectations.",formal
"The methodology minimized bias.",formal
"The study was conducted ethically.",formal
"The results were reproducible.",formal
"The analysis enhances credibility.",formal
"The research objectives were met.",formal
"The report demonstrates thorough analysis.",formal
"The findings are well substantiated.",formal
"The experiment confirms theoretical predictions.",formal
"The study contributes to academic discourse.",formal
"The conclusions are supported by data.",formal
"The methodology ensures accuracy.",formal
"The results are consistent with theory.",formal
"The research provides a solid framework.",formal
"The analysis was comprehensive.",formal
"The study presents reliable evidence.",formal
"The experiment was designed effectively.",formal
"The findings strengthen the argument.",formal
"The report reflects systematic research.",formal
"The conclusions are scientifically valid.",formal
"The study employs sound methodology.",formal
"The results enhance understanding.",formal
"The research meets academic standards.",formal
"The analysis confirms reliability.",formal
"The experiment yielded conclusive results.",formal
"The findings are methodologically sound.",formal
"The study follows established protocols.",formal
"The conclusions are evidence based.",formal
"The report provides detailed analysis.",formal
"The research methodology is robust.",formal
"The results validate the model.",formal
"The study supports theoretical claims.",formal
"The analysis confirms consistency.",formal
"The findings contribute new knowledge.",formal
"The experiment adhered to guidelines.",formal
"The conclusions are academically sound.",formal
"The research demonstrates validity.",formal
"The results reinforce the hypothesis.",formal
"The study ensures methodological rigor.",formal
"The analysis strengthens conclusions.",formal
"The findings reflect careful experimentation.",formal
"The report meets scholarly standards.",formal



"bro this movie was insane",casual
"i didnt really like it tho",casual
"gonna finish it later",casual
"lol that was funny",casual
"cant believe this happened",casual
"pls send it asap",casual
"this game is kinda boring",casual
"idk what to do now",casual
"im not sure about that",casual
"that sounds kinda cool",casual
"we'll talk later ok",casual
"this app is super slow",casual
"nah i dont think so",casual
"imma try again tomorrow",casual
"that wasnt what i expected",casual
"hey whats going on",casual
"im feeling kinda tired today",casual
"this doesnt make sense to me",casual
"why is this so confusing",casual
"lets see what happens",casual
"im not gonna lie",casual
"this feature is kinda neat",casual
"i cant deal with this rn",casual
"this is way too much work",casual
"we should probably leave",casual
"im just saying tho",casual
"that didnt work at all",casual
"i dont feel like doing it",casual
"this doesnt look right",casual
"ugh this is annoying",casual
"im stuck on this problem",casual
"we'll figure it out somehow",casual
"i think its fine tbh",casual
"this was way better before",casual
"im not happy with this",casual
"this update broke everything",casual
"i dont get the hype",casual
"that was kinda unexpected",casual
"im done for today",casual
"this doesnt seem fair",casual
"i might try later",casual
"this is not what i wanted",casual
"why does this keep happening",casual
"i guess thats okay",casual
"this feels off somehow",casual
"im honestly confused rn",casual
"that didnt go well",casual
"i dont care anymore",casual
"lets just move on",casual


"bro that was wild",casual
"i cant even explain this",casual
"this feels kinda weird",casual
"not gonna happen today",casual
"im lowkey excited tho",casual
"that was a close one",casual
"this thing keeps crashing",casual
"im tired of fixing this",casual
"why is it always like this",casual
"lets grab food later",casual
"im not feeling it rn",casual
"this is taking forever",casual
"that sounds kinda risky",casual
"im done arguing about it",casual
"this didnt age well",casual
"we messed this up badly",casual
"that wasnt necessary tbh",casual
"i shouldve known better",casual
"this whole thing is messy",casual
"im honestly over it",casual
"that didnt sit right with me",casual
"this isnt working anymore",casual
"we can talk later",casual
"i didnt sign up for this",casual
"this feels super awkward",casual
"not sure what went wrong",casual
"this is kinda my fault",casual
"im just really annoyed",casual
"that was totally random",casual
"lets not do this again",casual
"this is way too stressful",casual
"i cant keep doing this",casual
"we probably should stop",casual
"this isnt worth it",casual
"i didnt expect that at all",casual
"this feels rushed",casual
"why does nothing work",casual
"im slowly losing patience",casual
"this is getting ridiculous",casual
"i cant believe we tried that",casual
"that didnt make any sense",casual
"im just gonna wait",casual
"this is honestly exhausting",casual
"lets drop the topic",casual
"im not convinced yet",casual
"this doesnt feel right",casual
"i cant deal with delays",casual
"that plan fell apart",casual
"this couldve been better",casual





"The experiment was conducted under controlled laboratory conditions",formal
"The results indicate a significant improvement in system performance",formal
"This study aims to evaluate the effectiveness of the proposed method",formal
"The data collected during the experiment were carefully analyzed",formal
"The findings suggest a strong correlation between the variables",formal
"This report provides an overview of the project methodology",formal
"The system was designed to ensure scalability and reliability",formal
"The research focuses on improving natural language processing accuracy",formal
"The analysis demonstrates consistent behavior across multiple test cases",formal
"The proposed approach addresses several limitations of existing models",formal
"The experiment was repeated to ensure the reliability of results",formal
"The methodology follows standard academic research practices",formal
"The system architecture was developed using modular principles",formal
"The evaluation metrics were selected based on industry standards",formal
"This paper discusses the implications of the observed results",formal
"The model was trained using a balanced dataset",formal
"The findings contribute to the understanding of language modeling",formal
"The system was tested under various operating conditions",formal
"The research highlights the importance of data quality",formal
"The experiment confirms the validity of the proposed hypothesis",formal
"The implementation follows best software engineering practices",formal
"The study examines the impact of feature selection on performance",formal
"The results were verified through multiple validation techniques",formal
"The system demonstrates improved accuracy over baseline models",formal
"The research methodology was reviewed and approved",formal
"The experiment was designed to minimize external interference",formal
"The findings support the initial research objectives",formal
"The proposed framework enhances overall system efficiency",formal
"The analysis includes both qualitative and quantitative measures",formal
"The system was evaluated using real world datasets",formal
"The study presents a detailed comparison of different approaches",formal
"The model performance was measured using standardized metrics",formal
"The research emphasizes the role of contextual analysis",formal
"The experiment was conducted in accordance with ethical guidelines",formal
"The findings provide valuable insights into system behavior",formal
"The system design prioritizes maintainability and extensibility",formal
"The study investigates the relationship between input features and output",formal
"The analysis reveals patterns consistent with theoretical expectations",formal
"The system was deployed in a controlled testing environment",formal
"The research contributes to advancements in text analysis",formal
"The experiment demonstrates the robustness of the model",formal
"The findings were documented for future reference",formal
"The system architecture supports future enhancements",formal
"The study evaluates both strengths and limitations of the model",formal
"The analysis confirms the effectiveness of the implemented solution",formal
"The research explores optimization techniques for better performance",formal
"The experiment validates the feasibility of the proposed design",formal
"The system complies with established quality standards",formal
